sample_id,label,class_name,n_poles,n_zeros
388,3,bandstop,4,4
389,4,allpass,6,6
390,0,lowpass,8,8
391,1,highpass,4,4
392,2,bandpass,6,6
393,3,bandstop,2,2
394,4,allpass,6,6
395,0,lowpass,8,8
396,1,highpass,4,4
397,2,bandpass,4,4
398,3,bandstop,4,4
399,4,allpass,6,6
400,0,lowpass,2,2
401,1,highpass,8,8
402,2,bandpass,6,6
403,3,bandstop,6,6
404,4,allpass,8,8
405,0,lowpass,6,6
406,1,highpass,2,2
407,2,bandpass,2,2
408,3,bandstop,6,6
409,4,allpass,4,4
410,0,lowpass,8,8
411,1,highpass,4,4
412,2,bandpass,4,4
413,3,bandstop,8,8
414,4,allpass,8,8
415,0,lowpass,2,2
416,1,highpass,6,6
417,2,bandpass,8,8
418,3,bandstop,2,2
419,4,allpass,8,8
420,0,lowpass,4,4
421,1,highpass,4,4
422,2,bandpass,8,8
423,3,bandstop,2,2
424,4,allpass,6,6
425,0,lowpass,6,6
426,1,highpass,6,6
427,2,bandpass,4,4
428,3,bandstop,8,8
429,4,allpass,4,4
430,0,lowpass,8,8
431,1,highpass,2,2
432,2,bandpass,4,4
433,3,bandstop,2,2
434,4,allpass,6,6
435,0,lowpass,8,8
436,1,highpass,2,2
437,2,bandpass,8,8
438,3,bandstop,8,8
439,4,allpass,2,2
440,0,lowpass,8,8
441,1,highpass,8,8
442,2,bandpass,4,4
443,3,bandstop,4,4
444,4,allpass,4,4
445,0,lowpass,6,6
446,1,highpass,8,8
447,2,bandpass,6,6
448,3,bandstop,4,4
449,4,allpass,6,6
450,0,lowpass,8,8
451,1,highpass,6,6
452,2,bandpass,6,6
453,3,bandstop,4,4
454,4,allpass,4,4
455,0,lowpass,2,2
456,1,highpass,6,6
457,2,bandpass,8,8
458,3,bandstop,4,4
459,4,allpass,2,2
460,0,lowpass,2,2
461,1,highpass,8,8
462,2,bandpass,4,4
463,3,bandstop,6,6
464,4,allpass,2,2
465,0,lowpass,6,6
466,1,highpass,8,8
467,2,bandpass,2,2
468,3,bandstop,6,6
469,4,allpass,2,2
470,0,lowpass,4,4
471,1,highpass,8,8
472,2,bandpass,6,6
473,3,bandstop,4,4
474,4,allpass,8,8
475,0,lowpass,8,8
476,1,highpass,4,4
477,2,bandpass,8,8
478,3,bandstop,2,2
479,4,allpass,6,6
480,0,lowpass,2,2
481,1,highpass,4,4
482,2,bandpass,2,2
483,3,bandstop,2,2
484,4,allpass,4,4
485,0,lowpass,4,4
486,1,highpass,6,6
487,2,bandpass,6,6
488,3,bandstop,8,8
489,4,allpass,6,6
490,0,lowpass,8,8
491,1,highpass,2,2
492,2,bandpass,8,8
493,3,bandstop,8,8
494,4,allpass,2,2
495,0,lowpass,8,8
496,1,highpass,8,8
497,2,bandpass,8,8
498,3,bandstop,4,4
499,4,allpass,4,4
500,0,lowpass,4,4
501,1,highpass,2,2
502,2,bandpass,8,8
503,3,bandstop,2,2
504,4,allpass,8,8
505,0,lowpass,4,4
506,1,highpass,8,8
507,2,bandpass,2,2
508,3,bandstop,4,4
509,4,allpass,2,2
510,0,lowpass,6,6
511,1,highpass,8,8
512,2,bandpass,2,2
513,3,bandstop,8,8
514,4,allpass,8,8
515,0,lowpass,2,2
516,1,highpass,8,8
517,2,bandpass,6,6
518,3,bandstop,4,4
519,4,allpass,8,8
520,0,lowpass,6,6
521,1,highpass,2,2
522,2,bandpass,8,8
523,3,bandstop,8,8
524,4,allpass,6,6
525,0,lowpass,2,2
526,1,highpass,6,6
527,2,bandpass,6,6
528,3,bandstop,8,8
529,4,allpass,2,2
530,0,lowpass,6,6
531,1,highpass,8,8
532,2,bandpass,6,6
533,3,bandstop,6,6
534,4,allpass,6,6
535,0,lowpass,6,6
536,1,highpass,8,8
537,2,bandpass,8,8
538,3,bandstop,6,6
539,4,allpass,4,4
540,0,lowpass,4,4
541,1,highpass,2,2
542,2,bandpass,4,4
543,3,bandstop,8,8
544,4,allpass,8,8
545,0,lowpass,6,6
546,1,highpass,8,8
547,2,bandpass,4,4
548,3,bandstop,2,2
549,4,allpass,2,2
550,0,lowpass,4,4
551,1,highpass,4,4
552,2,bandpass,4,4
553,3,bandstop,2,2
554,4,allpass,8,8
555,0,lowpass,8,8
556,1,highpass,8,8
557,2,bandpass,2,2
558,3,bandstop,6,6
559,4,allpass,6,6
560,0,lowpass,6,6
561,1,highpass,2,2
562,2,bandpass,8,8
563,3,bandstop,4,4
564,4,allpass,6,6
565,0,lowpass,4,4
566,1,highpass,6,6
567,2,bandpass,2,2
568,3,bandstop,2,2
569,4,allpass,8,8
570,0,lowpass,8,8
571,1,highpass,2,2
572,2,bandpass,4,4
573,3,bandstop,2,2
574,4,allpass,2,2
575,0,lowpass,4,4
576,1,highpass,4,4
577,2,bandpass,6,6
578,3,bandstop,8,8
579,4,allpass,2,2
580,0,lowpass,8,8
581,1,highpass,8,8
582,2,bandpass,8,8
583,3,bandstop,8,8
584,4,allpass,2,2
585,0,lowpass,6,6
586,1,highpass,2,2
587,2,bandpass,8,8
588,3,bandstop,4,4
589,4,allpass,4,4
590,0,lowpass,4,4
591,1,highpass,8,8
592,2,bandpass,8,8
593,3,bandstop,4,4
594,4,allpass,8,8
595,0,lowpass,6,6
596,1,highpass,8,8
597,2,bandpass,2,2
598,3,bandstop,2,2
599,4,allpass,2,2
600,0,lowpass,8,8
601,1,highpass,8,8
602,2,bandpass,4,4
603,3,bandstop,6,6
604,4,allpass,6,6
605,0,lowpass,4,4
606,1,highpass,4,4
607,2,bandpass,6,6
608,3,bandstop,6,6
609,4,allpass,2,2
610,0,lowpass,4,4
611,1,highpass,4,4
612,2,bandpass,2,2
613,3,bandstop,6,6
614,4,allpass,4,4
615,0,lowpass,6,6
616,1,highpass,4,4
617,2,bandpass,4,4
618,3,bandstop,4,4
619,4,allpass,4,4
620,0,lowpass,8,8
621,1,highpass,4,4
622,2,bandpass,2,2
623,3,bandstop,6,6
624,4,allpass,6,6
625,0,lowpass,4,4
626,1,highpass,8,8
627,2,bandpass,2,2
628,3,bandstop,4,4
629,4,allpass,4,4
630,0,lowpass,2,2
631,1,highpass,2,2
632,2,bandpass,8,8
633,3,bandstop,8,8
634,4,allpass,8,8
635,0,lowpass,4,4
636,1,highpass,4,4
637,2,bandpass,8,8
638,3,bandstop,6,6
639,4,allpass,2,2
640,0,lowpass,6,6
641,1,highpass,4,4
642,2,bandpass,6,6
643,3,bandstop,2,2
644,4,allpass,4,4
645,0,lowpass,6,6
646,1,highpass,8,8
647,2,bandpass,8,8
648,3,bandstop,2,2
649,4,allpass,8,8
650,0,lowpass,2,2
651,1,highpass,2,2
652,2,bandpass,2,2
653,3,bandstop,8,8
654,4,allpass,6,6
655,0,lowpass,6,6
656,1,highpass,8,8
657,2,bandpass,6,6
658,3,bandstop,4,4
659,4,allpass,8,8
660,0,lowpass,8,8
661,1,highpass,4,4
662,2,bandpass,6,6
663,3,bandstop,6,6
664,4,allpass,8,8
665,0,lowpass,8,8
666,1,highpass,2,2
667,2,bandpass,2,2
668,3,bandstop,6,6
669,4,allpass,2,2
670,0,lowpass,8,8
671,1,highpass,6,6
672,2,bandpass,2,2
673,3,bandstop,8,8
674,4,allpass,4,4
675,0,lowpass,4,4
676,1,highpass,4,4
677,2,bandpass,8,8
678,3,bandstop,8,8
679,4,allpass,6,6
680,0,lowpass,4,4
681,1,highpass,8,8
682,2,bandpass,6,6
683,3,bandstop,4,4
684,4,allpass,2,2
685,0,lowpass,2,2
686,1,highpass,2,2
687,2,bandpass,4,4
688,3,bandstop,6,6
689,4,allpass,2,2
690,0,lowpass,6,6
691,1,highpass,2,2
692,2,bandpass,4,4
693,3,bandstop,8,8
694,4,allpass,4,4
695,0,lowpass,8,8
696,1,highpass,6,6
697,2,bandpass,8,8
698,3,bandstop,4,4
699,4,allpass,4,4
700,0,lowpass,8,8
701,1,highpass,4,4
702,2,bandpass,2,2
703,3,bandstop,6,6
704,4,allpass,6,6
705,0,lowpass,6,6
706,1,highpass,4,4
707,2,bandpass,2,2
708,3,bandstop,8,8
709,4,allpass,4,4
710,0,lowpass,4,4
711,1,highpass,6,6
712,2,bandpass,4,4
713,3,bandstop,2,2
714,4,allpass,8,8
715,0,lowpass,6,6
716,1,highpass,4,4
717,2,bandpass,6,6
718,3,bandstop,4,4
719,4,allpass,4,4
720,0,lowpass,2,2
721,1,highpass,8,8
722,2,bandpass,8,8
723,3,bandstop,2,2
724,4,allpass,6,6
725,0,lowpass,4,4
726,1,highpass,4,4
727,2,bandpass,4,4
728,3,bandstop,4,4
729,4,allpass,6,6
730,0,lowpass,8,8
731,1,highpass,8,8
732,2,bandpass,2,2
733,3,bandstop,2,2
734,4,allpass,4,4
735,0,lowpass,8,8
736,1,highpass,8,8
737,2,bandpass,2,2
738,3,bandstop,2,2
739,4,allpass,4,4
740,0,lowpass,2,2
741,1,highpass,2,2
742,2,bandpass,6,6
743,3,bandstop,8,8
744,4,allpass,2,2
745,0,lowpass,2,2
746,1,highpass,4,4
747,2,bandpass,6,6
748,3,bandstop,8,8
749,4,allpass,4,4
750,0,lowpass,6,6
751,1,highpass,8,8
752,2,bandpass,2,2
753,3,bandstop,6,6
754,4,allpass,8,8
755,0,lowpass,2,2
756,1,highpass,8,8
757,2,bandpass,6,6
758,3,bandstop,8,8
759,4,allpass,8,8
760,0,lowpass,6,6
761,1,highpass,6,6
762,2,bandpass,8,8
763,3,bandstop,8,8
764,4,allpass,6,6
765,0,lowpass,4,4
766,1,highpass,6,6
767,2,bandpass,4,4
768,3,bandstop,4,4
769,4,allpass,2,2
770,0,lowpass,8,8
771,1,highpass,8,8
772,2,bandpass,2,2
773,3,bandstop,6,6
774,4,allpass,6,6
775,0,lowpass,6,6
776,1,highpass,8,8
777,2,bandpass,6,6
778,3,bandstop,8,8
779,4,allpass,4,4
780,0,lowpass,8,8
781,1,highpass,4,4
782,2,bandpass,2,2
783,3,bandstop,4,4
784,4,allpass,6,6
785,0,lowpass,4,4
786,1,highpass,8,8
787,2,bandpass,8,8
788,3,bandstop,4,4
789,4,allpass,6,6
790,0,lowpass,2,2
791,1,highpass,2,2
792,2,bandpass,6,6
793,3,bandstop,2,2
794,4,allpass,6,6
795,0,lowpass,2,2
796,1,highpass,2,2
797,2,bandpass,4,4
798,3,bandstop,6,6
799,4,allpass,4,4
800,0,lowpass,8,8
801,1,highpass,6,6
802,2,bandpass,2,2
803,3,bandstop,4,4
804,4,allpass,8,8
805,0,lowpass,6,6
806,1,highpass,4,4
807,2,bandpass,8,8
808,3,bandstop,4,4
809,4,allpass,8,8
810,0,lowpass,6,6
811,1,highpass,6,6
812,2,bandpass,4,4
813,3,bandstop,6,6
814,4,allpass,6,6
815,0,lowpass,6,6
816,1,highpass,6,6
817,2,bandpass,4,4
818,3,bandstop,6,6
819,4,allpass,2,2
820,0,lowpass,8,8
821,1,highpass,2,2
822,2,bandpass,4,4
823,3,bandstop,6,6
824,4,allpass,2,2
825,0,lowpass,2,2
826,1,highpass,4,4
827,2,bandpass,2,2
828,3,bandstop,8,8
829,4,allpass,8,8
830,0,lowpass,6,6
831,1,highpass,8,8
832,2,bandpass,8,8
833,3,bandstop,4,4
834,4,allpass,2,2
835,0,lowpass,6,6
836,1,highpass,4,4
837,2,bandpass,6,6
838,3,bandstop,8,8
839,4,allpass,2,2
840,0,lowpass,6,6
841,1,highpass,4,4
842,2,bandpass,6,6
843,3,bandstop,8,8
844,4,allpass,6,6
845,0,lowpass,2,2
846,1,highpass,8,8
847,2,bandpass,4,4
848,3,bandstop,4,4
849,4,allpass,8,8
850,0,lowpass,4,4
851,1,highpass,4,4
852,2,bandpass,6,6
853,3,bandstop,6,6
854,4,allpass,4,4
855,0,lowpass,6,6
856,1,highpass,8,8
857,2,bandpass,8,8
858,3,bandstop,4,4
859,4,allpass,6,6
860,0,lowpass,6,6
861,1,highpass,8,8
862,2,bandpass,4,4
863,3,bandstop,4,4
864,4,allpass,8,8
865,0,lowpass,6,6
866,1,highpass,6,6
867,2,bandpass,2,2
868,3,bandstop,8,8
869,4,allpass,4,4
870,0,lowpass,4,4
871,1,highpass,2,2
872,2,bandpass,6,6
873,3,bandstop,8,8
874,4,allpass,2,2
875,0,lowpass,8,8
876,1,highpass,8,8
877,2,bandpass,8,8
878,3,bandstop,6,6
879,4,allpass,6,6
880,0,lowpass,4,4
881,1,highpass,2,2
882,2,bandpass,6,6
883,3,bandstop,8,8
884,4,allpass,4,4
885,0,lowpass,8,8
886,1,highpass,6,6
887,2,bandpass,8,8
888,3,bandstop,4,4
889,4,allpass,2,2
890,0,lowpass,6,6
891,1,highpass,8,8
892,2,bandpass,4,4
893,3,bandstop,6,6
894,4,allpass,2,2
895,0,lowpass,4,4
896,1,highpass,8,8
897,2,bandpass,6,6
898,3,bandstop,2,2
899,4,allpass,6,6
900,0,lowpass,2,2
901,1,highpass,4,4
902,2,bandpass,2,2
903,3,bandstop,8,8
904,4,allpass,2,2
905,0,lowpass,6,6
906,1,highpass,2,2
907,2,bandpass,2,2
908,3,bandstop,2,2
909,4,allpass,8,8
910,0,lowpass,2,2
911,1,highpass,6,6
912,2,bandpass,2,2
913,3,bandstop,4,4
914,4,allpass,2,2
915,0,lowpass,4,4
916,1,highpass,6,6
917,2,bandpass,8,8
918,3,bandstop,4,4
919,4,allpass,6,6
920,0,lowpass,2,2
921,1,highpass,4,4
922,2,bandpass,4,4
923,3,bandstop,8,8
924,4,allpass,8,8
925,0,lowpass,2,2
926,1,highpass,2,2
927,2,bandpass,6,6
928,3,bandstop,6,6
929,4,allpass,2,2
930,0,lowpass,2,2
931,1,highpass,2,2
932,2,bandpass,2,2
933,3,bandstop,2,2
934,4,allpass,2,2
935,0,lowpass,4,4
936,1,highpass,2,2
937,2,bandpass,6,6
938,3,bandstop,6,6
939,4,allpass,2,2
940,0,lowpass,2,2
941,1,highpass,4,4
942,2,bandpass,2,2
943,3,bandstop,6,6
944,4,allpass,6,6
945,0,lowpass,6,6
946,1,highpass,2,2
947,2,bandpass,6,6
948,3,bandstop,8,8
949,4,allpass,8,8
950,0,lowpass,8,8
951,1,highpass,2,2
952,2,bandpass,2,2
953,3,bandstop,4,4
954,4,allpass,6,6
955,0,lowpass,6,6
956,1,highpass,4,4
957,2,bandpass,2,2
958,3,bandstop,4,4
959,4,allpass,2,2
960,0,lowpass,8,8
961,1,highpass,4,4
962,2,bandpass,4,4
963,3,bandstop,8,8
964,4,allpass,2,2
965,0,lowpass,6,6
966,1,highpass,6,6
967,2,bandpass,6,6
968,3,bandstop,6,6
969,4,allpass,6,6
970,0,lowpass,6,6
971,1,highpass,6,6
972,2,bandpass,8,8
973,3,bandstop,4,4
974,4,allpass,6,6
975,0,lowpass,4,4
976,1,highpass,8,8
977,2,bandpass,4,4
978,3,bandstop,8,8
979,4,allpass,6,6
980,0,lowpass,4,4
981,1,highpass,2,2
982,2,bandpass,4,4
983,3,bandstop,6,6
984,4,allpass,8,8
985,0,lowpass,6,6
986,1,highpass,2,2
987,2,bandpass,6,6
988,3,bandstop,4,4
989,4,allpass,8,8
990,0,lowpass,6,6
991,1,highpass,4,4
992,2,bandpass,4,4
993,3,bandstop,2,2
994,4,allpass,6,6
995,0,lowpass,4,4
996,1,highpass,2,2
997,2,bandpass,4,4
998,3,bandstop,2,2
999,4,allpass,8,8
1000,0,lowpass,6,6
1001,1,highpass,6,6
1002,2,bandpass,6,6
1003,3,bandstop,6,6
1004,4,allpass,2,2
1005,0,lowpass,8,8
1006,1,highpass,4,4
1007,2,bandpass,6,6
1008,3,bandstop,4,4
1009,4,allpass,6,6
1010,0,lowpass,6,6
1011,1,highpass,4,4
1012,2,bandpass,8,8
1013,3,bandstop,2,2
1014,4,allpass,8,8
1015,0,lowpass,6,6
1016,1,highpass,4,4
1017,2,bandpass,8,8
1018,3,bandstop,2,2
1019,4,allpass,2,2
1020,0,lowpass,6,6
1021,1,highpass,8,8
1022,2,bandpass,8,8
1023,3,bandstop,2,2
1024,4,allpass,6,6
1025,0,lowpass,8,8
1026,1,highpass,8,8
1027,2,bandpass,2,2
1028,3,bandstop,6,6
1029,4,allpass,2,2
1030,0,lowpass,2,2
1031,1,highpass,2,2
1032,2,bandpass,6,6
1033,3,bandstop,6,6
1034,4,allpass,2,2
1035,0,lowpass,2,2
1036,1,highpass,8,8
1037,2,bandpass,6,6
1038,3,bandstop,6,6
1039,4,allpass,6,6
1040,0,lowpass,2,2
1041,1,highpass,4,4
1042,2,bandpass,6,6
1043,3,bandstop,2,2
1044,4,allpass,8,8
1045,0,lowpass,6,6
1046,1,highpass,4,4
1047,2,bandpass,8,8
1048,3,bandstop,2,2
1049,4,allpass,2,2
1050,0,lowpass,8,8
1051,1,highpass,4,4
1052,2,bandpass,6,6
1053,3,bandstop,4,4
1054,4,allpass,2,2
1055,0,lowpass,4,4
1056,1,highpass,6,6
1057,2,bandpass,4,4
1058,3,bandstop,6,6
1059,4,allpass,4,4
1060,0,lowpass,2,2
1061,1,highpass,8,8
1062,2,bandpass,2,2
1063,3,bandstop,2,2
1064,4,allpass,6,6
1065,0,lowpass,4,4
1066,1,highpass,6,6
1067,2,bandpass,6,6
1068,3,bandstop,2,2
1069,4,allpass,4,4
1070,0,lowpass,4,4
1071,1,highpass,8,8
1072,2,bandpass,4,4
1073,3,bandstop,8,8
1074,4,allpass,8,8
1075,0,lowpass,6,6
1076,1,highpass,4,4
1077,2,bandpass,4,4
1078,3,bandstop,4,4
1079,4,allpass,6,6
1080,0,lowpass,8,8
1081,1,highpass,8,8
1082,2,bandpass,8,8
1083,3,bandstop,6,6
1084,4,allpass,2,2
1085,0,lowpass,8,8
1086,1,highpass,2,2
1087,2,bandpass,2,2
1088,3,bandstop,4,4
1089,4,allpass,4,4
1090,0,lowpass,6,6
1091,1,highpass,6,6
1092,2,bandpass,4,4
1093,3,bandstop,6,6
1094,4,allpass,6,6
1095,0,lowpass,8,8
1096,1,highpass,6,6
1097,2,bandpass,8,8
1098,3,bandstop,8,8
